app,axis,hand,mass_kg,tempo_bpm,n,RMSE_mean,RMSE_std,RMSE_median
preRiCTO,AP,R,7.0,16,30,8.670952829170057,2.651872744111964,9.168630988172499
preRiCTO,AP,R,15.0,10,36,12.833572997554166,3.128251333333398,12.455964236462929
preRiCTO,AP,R,15.0,16,30,12.851615534612183,3.163083869587666,13.22389572243502
preRiCTO,ML,L,7.0,10,36,10.970079027359738,3.1195198680012712,10.885769488618624
preRiCTO,ML,L,7.0,16,30,9.212501837050556,3.9575107961970333,7.366078946793507
preRiCTO,ML,L,15.0,10,36,16.588222067533128,4.246971364414645,16.390620513941872
preRiCTO,ML,L,15.0,16,30,17.13521866523058,4.993082654989009,16.511725913184268
preRiCTO,ML,R,7.0,10,36,10.496751336407405,2.6635939502449566,10.25323876318912
preRiCTO,ML,R,7.0,16,30,9.52563645610828,2.104178625230644,9.836355022627565
preRiCTO,ML,R,15.0,10,36,16.040454872440232,3.273208140064108,15.719026688655392
preRiCTO,ML,R,15.0,16,30,18.03455478534972,2.434207750140383,18.255863766619626
preRiCTO,Resultant,L,7.0,10,36,9.326990516356924,1.3974152843093846,9.127632015227437
preRiCTO,Resultant,L,7.0,16,30,9.040417486778619,1.4286766216550515,9.221255499047874
preRiCTO,Resultant,L,15.0,10,36,22.588387133059072,2.7857553116077653,22.476171582415127
preRiCTO,Resultant,L,15.0,16,30,19.127786376817003,3.225082791195219,18.365415296337666
preRiCTO,Resultant,R,7.0,10,36,10.477782490254633,1.578829201517157,10.286775281115819
preRiCTO,Resultant,R,7.0,16,30,9.941250217739677,1.868684323161754,10.04941619434943
preRiCTO,Resultant,R,15.0,10,36,24.38391087628809,2.933613800166304,24.509033941888568
preRiCTO,Resultant,R,15.0,16,30,21.446283337851305,3.3383105222935145,20.8218175766117
preRiCTO,Vertical,L,7.0,10,36,9.884094122953837,1.3044552013682573,9.70157698901595
preRiCTO,Vertical,L,7.0,16,30,9.117418141274408,1.5158607764643683,9.155511539305866
preRiCTO,Vertical,L,15.0,10,36,23.453408814470283,2.8517987029928973,23.095575976583724
preRiCTO,Vertical,L,15.0,16,30,20.336124285151257,3.0359224887339877,19.758216016349117
preRiCTO,Vertical,R,7.0,10,36,11.540584436802712,1.5190653609033362,11.402195956300254
