cond,seg,net_max,net_rms,hicks_5pct_max,hicks_5pct_rms,hicks_1pct_max_moment_placeholder,section,hicks_1pct_max
15kg_16bpm,8AB,944.9685590899169,717.4906028358266,47.248427954495845,35.87453014179133,,AB,9.449685590899168
15kg_16bpm,9AB,944.9727689523988,716.5147904899268,47.248638447619946,35.82573952449634,,AB,9.44972768952399
15kg_16bpm,10BC,918.8003389955493,716.9794937146664,45.940016949777466,35.848974685733324,,BC,9.188003389955494
15kg_16bpm,1BC,883.8562980971625,716.6207251817008,44.192814904858125,35.83103625908504,,BC,8.838562980971625
15kg_16bpm,2BC,897.1653003919032,716.3412855912941,44.858265019595166,35.817064279564704,,BC,8.971653003919032
15kg_16bpm,3BC,925.1186296821193,718.014198442921,46.255931484105965,35.900709922146056,,BC,9.251186296821192
15kg_16bpm,4BC,950.9754455516851,717.7477285901144,47.548772277584256,35.887386429505725,,BC,9.509754455516852
15kg_16bpm,5BC,895.6155051894755,717.2892938594682,44.78077525947378,35.864464692973414,,BC,8.956155051894754
15kg_16bpm,6BC,912.9781707697065,716.7892817408027,45.64890853848533,35.839464087040135,,BC,9.129781707697065
15kg_16bpm,7BC,928.2988221968059,717.5590705978228,46.4149411098403,35.877953529891144,,BC,9.28298822196806
15kg_16bpm,8BC,927.58852796908,717.5604515263703,46.379426398454,35.87802257631852,,BC,9.275885279690801
15kg_16bpm,9BC,922.6826453389871,717.199292838043,46.13413226694936,35.85996464190215,,BC,9.22682645338987
15kg_16bpm,10CA,902.0959024447852,714.2668027422586,45.10479512223927,35.71334013711293,,CA,9.020959024447853
15kg_16bpm,1CA,856.7014571082565,713.7373295066704,42.835072855412825,35.686866475333524,,CA,8.567014571082565
15kg_16bpm,2CA,866.578872033602,713.7983873513261,43.3289436016801,35.68991936756631,,CA,8.665788720336021
15kg_16bpm,3CA,892.3955752734063,714.3773675678453,44.61977876367032,35.718868378392266,,CA,8.923955752734063
15kg_16bpm,4CA,860.1111097144599,713.692037932079,43.005555485722994,35.68460189660395,,CA,8.6011110971446
15kg_16bpm,5CA,868.9620754270532,713.4436291469679,43.44810377135266,35.672181457348394,,CA,8.689620754270532
15kg_16bpm,6CA,866.4063126942156,713.7505684012086,43.32031563471078,35.68752842006043,,CA,8.664063126942155
